INTID,hour,los_score,LOS
1,2025-11-16 00:00:00,1,A
1,2025-11-16 01:00:00,1,A
1,2025-11-16 02:00:00,1,A
1,2025-11-16 03:00:00,1,A
1,2025-11-16 04:00:00,1,A
1,2025-11-16 05:00:00,1,A
1,2025-11-16 06:00:00,1,A
1,2025-11-16 07:00:00,2,B
1,2025-11-16 08:00:00,3,C
1,2025-11-16 09:00:00,3,C
1,2025-11-16 10:00:00,3,C
1,2025-11-16 11:00:00,3,C
1,2025-11-16 12:00:00,3,C
1,2025-11-16 13:00:00,3,C
1,2025-11-16 14:00:00,3,C
1,2025-11-16 15:00:00,3,C
1,2025-11-16 16:00:00,3,C
1,2025-11-16 17:00:00,3,C
1,2025-11-16 18:00:00,2,B
1,2025-11-16 19:00:00,2,B
1,2025-11-16 20:00:00,2,B
1,2025-11-16 21:00:00,1,A
1,2025-11-16 22:00:00,1,A
1,2025-11-16 23:00:00,1,A
1,2025-11-17 00:00:00,1,A
1,2025-11-17 01:00:00,1,A
1,2025-11-17 02:00:00,1,A
1,2025-11-17 03:00:00,1,A
1,2025-11-17 04:00:00,1,A
1,2025-11-17 05:00:00,1,A
1,2025-11-17 06:00:00,2,B
1,2025-11-17 07:00:00,4,D
1,2025-11-17 08:00:00,4,D
1,2025-11-17 09:00:00,3,C
1,2025-11-17 10:00:00,3,C
1,2025-11-17 11:00:00,4,D
1,2025-11-17 12:00:00,4,D
1,2025-11-17 13:00:00,4,D
1,2025-11-17 14:00:00,4,D
1,2025-11-17 15:00:00,4,D
1,2025-11-17 16:00:00,4,D
1,2025-11-17 17:00:00,4,D
1,2025-11-17 18:00:00,2,B
1,2025-11-17 19:00:00,2,B
1,2025-11-17 20:00:00,2,B
1,2025-11-17 21:00:00,1,A
1,2025-11-17 22:00:00,1,A
1,2025-11-17 23:00:00,1,A
1,2025-11-18 00:00:00,1,A
1,2025-11-18 01:00:00,1,A
1,2025-11-18 02:00:00,1,A
1,2025-11-18 03:00:00,1,A
1,2025-11-18 04:00:00,1,A
1,2025-11-18 05:00:00,1,A
1,2025-11-18 06:00:00,3,C
1,2025-11-18 07:00:00,4,D
1,2025-11-18 08:00:00,4,D
1,2025-11-18 09:00:00,4,D
1,2025-11-18 10:00:00,4,D
1,2025-11-18 11:00:00,4,D
1,2025-11-18 12:00:00,4,D
1,2025-11-18 13:00:00,4,D
1,2025-11-18 14:00:00,4,D
1,2025-11-18 15:00:00,4,D
1,2025-11-18 16:00:00,4,D
1,2025-11-18 17:00:00,4,D
1,2025-11-18 18:00:00,2,B
1,2025-11-18 19:00:00,2,B
1,2025-11-18 20:00:00,2,B
1,2025-11-18 21:00:00,2,B
1,2025-11-18 22:00:00,1,A
1,2025-11-18 23:00:00,1,A
1,2025-11-19 00:00:00,1,A
1,2025-11-19 01:00:00,1,A
1,2025-11-19 02:00:00,1,A
1,2025-11-19 03:00:00,1,A
1,2025-11-19 04:00:00,1,A
1,2025-11-19 05:00:00,1,A
1,2025-11-19 06:00:00,2,B
1,2025-11-19 07:00:00,4,D
1,2025-11-19 08:00:00,4,D
1,2025-11-19 09:00:00,4,D
1,2025-11-19 10:00:00,4,D
1,2025-11-19 11:00:00,3,C
1,2025-11-19 12:00:00,4,D
1,2025-11-19 13:00:00,4,D
1,2025-11-19 14:00:00,4,D
1,2025-11-19 15:00:00,4,D
1,2025-11-19 16:00:00,5,E
1,2025-11-19 17:00:00,4,D
1,2025-11-19 18:00:00,3,C
1,2025-11-19 19:00:00,2,B
1,2025-11-19 20:00:00,2,B
1,2025-11-19 21:00:00,2,B
1,2025-11-19 22:00:00,1,A
1,2025-11-19 23:00:00,1,A
1,2025-11-20 00:00:00,1,A
1,2025-11-20 01:00:00,1,A
1,2025-11-20 02:00:00,1,A
1,2025-11-20 03:00:00,1,A
1,2025-11-20 04:00:00,1,A
1,2025-11-20 05:00:00,2,B
1,2025-11-20 06:00:00,3,C
1,2025-11-20 07:00:00,4,D
1,2025-11-20 08:00:00,4,D
1,2025-11-20 09:00:00,4,D
1,2025-11-20 10:00:00,3,C
1,2025-11-20 11:00:00,3,C
1,2025-11-20 12:00:00,4,D
1,2025-11-20 13:00:00,4,D
1,2025-11-20 14:00:00,4,D
1,2025-11-20 15:00:00,4,D
1,2025-11-20 16:00:00,4,D
1,2025-11-20 17:00:00,4,D
1,2025-11-20 18:00:00,4,D
1,2025-11-20 19:00:00,3,C
1,2025-11-20 20:00:00,2,B
1,2025-11-20 21:00:00,2,B
1,2025-11-20 22:00:00,2,B
1,2025-11-20 23:00:00,1,A
1,2025-11-21 00:00:00,1,A
1,2025-11-21 01:00:00,1,A
1,2025-11-21 02:00:00,1,A
1,2025-11-21 03:00:00,1,A
1,2025-11-21 04:00:00,1,A
1,2025-11-21 05:00:00,2,B
1,2025-11-21 06:00:00,3,C
1,2025-11-21 07:00:00,4,D
1,2025-11-21 08:00:00,4,D
1,2025-11-21 09:00:00,3,C
1,2025-11-21 10:00:00,3,C
1,2025-11-21 11:00:00,4,D
1,2025-11-21 12:00:00,4,D
1,2025-11-21 13:00:00,4,D
1,2025-11-21 14:00:00,4,D
1,2025-11-21 15:00:00,4,D
1,2025-11-21 16:00:00,4,D
1,2025-11-21 17:00:00,4,D
1,2025-11-21 18:00:00,3,C
1,2025-11-21 19:00:00,2,B
1,2025-11-21 20:00:00,2,B
1,2025-11-21 21:00:00,2,B
1,2025-11-21 22:00:00,2,B
1,2025-11-21 23:00:00,1,A
1,2025-11-22 00:00:00,1,A
1,2025-11-22 01:00:00,1,A
1,2025-11-22 02:00:00,1,A
1,2025-11-22 03:00:00,1,A
1,2025-11-22 04:00:00,1,A
1,2025-11-22 05:00:00,1,A
1,2025-11-22 06:00:00,2,B
1,2025-11-22 07:00:00,2,B
1,2025-11-22 08:00:00,3,C
1,2025-11-22 09:00:00,3,C
1,2025-11-22 10:00:00,4,D
1,2025-11-22 11:00:00,4,D
1,2025-11-22 12:00:00,4,D
1,2025-11-22 13:00:00,4,D
1,2025-11-22 14:00:00,4,D
1,2025-11-22 15:00:00,4,D
1,2025-11-22 16:00:00,4,D
1,2025-11-22 17:00:00,4,D
1,2025-11-22 18:00:00,3,C
1,2025-11-22 19:00:00,2,B
1,2025-11-22 20:00:00,2,B
1,2025-11-22 21:00:00,2,B
1,2025-11-22 22:00:00,1,A
1,2025-11-22 23:00:00,1,A
2,2025-11-16 00:00:00,2,B
2,2025-11-16 01:00:00,1,A
2,2025-11-16 02:00:00,1,A
2,2025-11-16 03:00:00,1,A
2,2025-11-16 04:00:00,2,B
2,2025-11-16 05:00:00,1,A
2,2025-11-16 06:00:00,2,B
2,2025-11-16 07:00:00,3,C
2,2025-11-16 08:00:00,4,D
2,2025-11-16 09:00:00,5,E
2,2025-11-16 10:00:00,5,E
2,2025-11-16 11:00:00,6,F
2,2025-11-16 12:00:00,6,F
2,2025-11-16 13:00:00,6,F
2,2025-11-16 14:00:00,6,F
2,2025-11-16 15:00:00,6,F
2,2025-11-16 16:00:00,6,F
2,2025-11-16 17:00:00,5,E
2,2025-11-16 18:00:00,5,E
2,2025-11-16 19:00:00,4,D
2,2025-11-16 20:00:00,4,D
2,2025-11-16 21:00:00,3,C
2,2025-11-16 22:00:00,2,B
2,2025-11-16 23:00:00,1,A
2,2025-11-17 00:00:00,1,A
2,2025-11-17 01:00:00,1,A
2,2025-11-17 02:00:00,1,A
2,2025-11-17 03:00:00,1,A
2,2025-11-17 04:00:00,2,B
2,2025-11-17 05:00:00,2,B
2,2025-11-17 06:00:00,4,D
2,2025-11-17 07:00:00,6,F
2,2025-11-17 08:00:00,6,F
2,2025-11-17 09:00:00,6,F
2,2025-11-17 10:00:00,6,F
2,2025-11-17 11:00:00,6,F
2,2025-11-17 12:00:00,6,F
2,2025-11-17 13:00:00,6,F
2,2025-11-17 14:00:00,6,F
2,2025-11-17 15:00:00,6,F
2,2025-11-17 16:00:00,6,F
2,2025-11-17 17:00:00,6,F
2,2025-11-17 18:00:00,6,F
2,2025-11-17 19:00:00,5,E
2,2025-11-17 20:00:00,4,D
2,2025-11-17 21:00:00,3,C
2,2025-11-17 22:00:00,2,B
2,2025-11-17 23:00:00,1,A
2,2025-11-18 00:00:00,1,A
2,2025-11-18 01:00:00,1,A
2,2025-11-18 02:00:00,1,A
2,2025-11-18 03:00:00,1,A
2,2025-11-18 04:00:00,2,B
2,2025-11-18 05:00:00,3,C
2,2025-11-18 06:00:00,4,D
2,2025-11-18 07:00:00,6,F
2,2025-11-18 08:00:00,6,F
2,2025-11-18 09:00:00,6,F
2,2025-11-18 10:00:00,6,F
2,2025-11-18 11:00:00,6,F
2,2025-11-18 12:00:00,6,F
2,2025-11-18 13:00:00,6,F
2,2025-11-18 14:00:00,6,F
2,2025-11-18 15:00:00,6,F
2,2025-11-18 16:00:00,6,F
2,2025-11-18 17:00:00,6,F
2,2025-11-18 18:00:00,6,F
2,2025-11-18 19:00:00,5,E
2,2025-11-18 20:00:00,4,D
2,2025-11-18 21:00:00,3,C
2,2025-11-18 22:00:00,2,B
2,2025-11-18 23:00:00,2,B
2,2025-11-19 00:00:00,1,A
2,2025-11-19 01:00:00,1,A
2,2025-11-19 02:00:00,1,A
2,2025-11-19 03:00:00,1,A
2,2025-11-19 04:00:00,2,B
2,2025-11-19 05:00:00,2,B
2,2025-11-19 06:00:00,4,D
2,2025-11-19 07:00:00,6,F
2,2025-11-19 08:00:00,6,F
2,2025-11-19 09:00:00,6,F
2,2025-11-19 10:00:00,6,F
2,2025-11-19 11:00:00,6,F
2,2025-11-19 12:00:00,6,F
2,2025-11-19 13:00:00,6,F
2,2025-11-19 14:00:00,6,F
2,2025-11-19 15:00:00,6,F
2,2025-11-19 16:00:00,6,F
2,2025-11-19 17:00:00,6,F
2,2025-11-19 18:00:00,6,F
2,2025-11-19 19:00:00,5,E
2,2025-11-19 20:00:00,5,E
2,2025-11-19 21:00:00,4,D
2,2025-11-19 22:00:00,2,B
2,2025-11-19 23:00:00,2,B
2,2025-11-20 00:00:00,1,A
2,2025-11-20 01:00:00,1,A
2,2025-11-20 02:00:00,1,A
2,2025-11-20 03:00:00,1,A
2,2025-11-20 04:00:00,2,B
2,2025-11-20 05:00:00,3,C
2,2025-11-20 06:00:00,4,D
2,2025-11-20 07:00:00,5,E
2,2025-11-20 08:00:00,6,F
2,2025-11-20 09:00:00,5,E
2,2025-11-20 10:00:00,6,F
2,2025-11-20 11:00:00,6,F
2,2025-11-20 12:00:00,6,F
2,2025-11-20 13:00:00,6,F
2,2025-11-20 14:00:00,6,F
2,2025-11-20 15:00:00,6,F
2,2025-11-20 16:00:00,6,F
2,2025-11-20 17:00:00,6,F
2,2025-11-20 18:00:00,6,F
2,2025-11-20 19:00:00,5,E
2,2025-11-20 20:00:00,4,D
2,2025-11-20 21:00:00,3,C
2,2025-11-20 22:00:00,3,C
2,2025-11-20 23:00:00,2,B
2,2025-11-21 00:00:00,1,A
2,2025-11-21 01:00:00,1,A
2,2025-11-21 02:00:00,1,A
2,2025-11-21 03:00:00,1,A
2,2025-11-21 04:00:00,2,B
2,2025-11-21 05:00:00,3,C
2,2025-11-21 06:00:00,4,D
2,2025-11-21 07:00:00,6,F
2,2025-11-21 08:00:00,6,F
2,2025-11-21 09:00:00,6,F
2,2025-11-21 10:00:00,6,F
2,2025-11-21 11:00:00,6,F
2,2025-11-21 12:00:00,6,F
2,2025-11-21 13:00:00,6,F
2,2025-11-21 14:00:00,6,F
2,2025-11-21 15:00:00,6,F
2,2025-11-21 16:00:00,6,F
2,2025-11-21 17:00:00,6,F
2,2025-11-21 18:00:00,6,F
2,2025-11-21 19:00:00,5,E
2,2025-11-21 20:00:00,4,D
2,2025-11-21 21:00:00,4,D
2,2025-11-21 22:00:00,3,C
2,2025-11-21 23:00:00,2,B
2,2025-11-22 00:00:00,2,B
2,2025-11-22 01:00:00,1,A
2,2025-11-22 02:00:00,1,A
2,2025-11-22 03:00:00,1,A
2,2025-11-22 04:00:00,2,B
2,2025-11-22 05:00:00,2,B
2,2025-11-22 06:00:00,2,B
2,2025-11-22 07:00:00,3,C
2,2025-11-22 08:00:00,4,D
2,2025-11-22 09:00:00,5,E
2,2025-11-22 10:00:00,6,F
2,2025-11-22 11:00:00,6,F
2,2025-11-22 12:00:00,6,F
2,2025-11-22 13:00:00,6,F
2,2025-11-22 14:00:00,6,F
2,2025-11-22 15:00:00,6,F
2,2025-11-22 16:00:00,6,F
2,2025-11-22 17:00:00,6,F
2,2025-11-22 18:00:00,5,E
2,2025-11-22 19:00:00,4,D
2,2025-11-22 20:00:00,4,D
2,2025-11-22 21:00:00,3,C
2,2025-11-22 22:00:00,2,B
2,2025-11-22 23:00:00,2,B
3,2025-11-16 00:00:00,2,B
3,2025-11-16 01:00:00,2,B
3,2025-11-16 02:00:00,1,A
3,2025-11-16 03:00:00,1,A
3,2025-11-16 04:00:00,1,A
3,2025-11-16 05:00:00,1,A
3,2025-11-16 06:00:00,2,B
3,2025-11-16 07:00:00,2,B
3,2025-11-16 08:00:00,2,B
3,2025-11-16 09:00:00,4,D
3,2025-11-16 10:00:00,5,E
3,2025-11-16 11:00:00,5,E
3,2025-11-16 12:00:00,5,E
3,2025-11-16 13:00:00,6,F
3,2025-11-16 14:00:00,6,F
3,2025-11-16 15:00:00,6,F
3,2025-11-16 16:00:00,6,F
3,2025-11-16 17:00:00,6,F
3,2025-11-16 18:00:00,6,F
3,2025-11-16 19:00:00,6,F
3,2025-11-16 20:00:00,5,E
3,2025-11-16 21:00:00,4,D
3,2025-11-16 22:00:00,3,C
3,2025-11-16 23:00:00,2,B
3,2025-11-17 00:00:00,2,B
3,2025-11-17 01:00:00,1,A
3,2025-11-17 02:00:00,1,A
3,2025-11-17 03:00:00,1,A
3,2025-11-17 04:00:00,1,A
3,2025-11-17 05:00:00,2,B
3,2025-11-17 06:00:00,3,C
3,2025-11-17 07:00:00,5,E
3,2025-11-17 08:00:00,6,F
3,2025-11-17 09:00:00,5,E
3,2025-11-17 10:00:00,5,E
3,2025-11-17 11:00:00,5,E
3,2025-11-17 12:00:00,5,E
3,2025-11-17 13:00:00,5,E
3,2025-11-17 14:00:00,5,E
3,2025-11-17 15:00:00,6,F
3,2025-11-17 16:00:00,6,F
3,2025-11-17 17:00:00,6,F
3,2025-11-17 18:00:00,6,F
3,2025-11-17 19:00:00,6,F
3,2025-11-17 20:00:00,5,E
3,2025-11-17 21:00:00,4,D
3,2025-11-17 22:00:00,4,D
3,2025-11-17 23:00:00,3,C
3,2025-11-18 00:00:00,1,A
3,2025-11-18 01:00:00,1,A
3,2025-11-18 02:00:00,1,A
3,2025-11-18 03:00:00,1,A
3,2025-11-18 04:00:00,1,A
3,2025-11-18 05:00:00,2,B
3,2025-11-18 06:00:00,3,C
3,2025-11-18 07:00:00,5,E
3,2025-11-18 08:00:00,6,F
3,2025-11-18 09:00:00,6,F
3,2025-11-18 10:00:00,5,E
3,2025-11-18 11:00:00,5,E
3,2025-11-18 12:00:00,5,E
3,2025-11-18 13:00:00,5,E
3,2025-11-18 14:00:00,6,F
3,2025-11-18 15:00:00,6,F
3,2025-11-18 16:00:00,6,F
3,2025-11-18 17:00:00,6,F
3,2025-11-18 18:00:00,6,F
3,2025-11-18 19:00:00,6,F
3,2025-11-18 20:00:00,5,E
3,2025-11-18 21:00:00,4,D
3,2025-11-18 22:00:00,4,D
3,2025-11-18 23:00:00,2,B
3,2025-11-19 00:00:00,2,B
3,2025-11-19 01:00:00,1,A
3,2025-11-19 02:00:00,1,A
3,2025-11-19 03:00:00,1,A
3,2025-11-19 04:00:00,1,A
3,2025-11-19 05:00:00,2,B
3,2025-11-19 06:00:00,3,C
3,2025-11-19 07:00:00,5,E
3,2025-11-19 08:00:00,6,F
3,2025-11-19 09:00:00,6,F
3,2025-11-19 10:00:00,5,E
